Gene,Mean_Ct_Ground,Mean_Ct_Flight,Std_Ground,Std_Flight,ΔΔCt,Fold_Change,log2_FC,t_statistic,p_value,p_adj_BH,Significant_FDR05,MannWhitney_p,-log10_p,Regulation,Pathway
Tcf7l2,26.959846374999998,28.08170925,1.1870643327745176,0.8363776356232786,1.1218628750000015,0.4595001141422357,-1.1218628750000015,-2.1851567396513443,0.04844957846053015,0.13066704493900555,False,0.028127428127428127,1.3147099972109884,Downregulated,Other
Tsc22d3,26.269100875,28.050999250000004,2.535385948936624,1.9270863086115817,1.7818983750000044,0.290800493967017,-1.7818983750000044,-1.5825938433088762,0.13741303831701307,0.24371353549627175,False,0.037917637917637914,0.8619720576659564,No Change,Other
Twist1,29.279156874999998,30.36589825,1.131522673157526,1.1242190155272562,1.0867413750000026,0.4708236269926063,-1.0867413750000026,-1.9270569571414597,0.07451605756058265,0.15836387582775366,False,0.10489510489510488,1.1277501304931428,No Change,Other
Ucp1,32.3002455,28.690334125,1.481080695989924,3.2245819836091916,-3.609911375000003,12.20932362783474,3.609911375000003,2.877413642882403,0.016737255677566933,0.08181140388426174,False,0.014763014763014764,1.7763157495562716,Upregulated,Thermogenesis
Vdr,32.027247625,32.830078875,1.6396593503782537,3.096454057816523,0.802831249999997,0.5732231380433556,-0.802831249999997,-0.6480847352006724,0.5306673982267778,0.6133688109374444,False,0.7209013209013208,0.27517759261392843,No Change,Other
Wnt1,33.115028875,32.734274,1.413451903069164,1.8994647177376802,-0.38075487500000094,1.3020229470464468,0.38075487500000094,0.45485312453065946,0.6567559996918806,0.7216207897849058,False,0.7209013209013208,0.18259595109434715,No Change,Signaling
Wnt10b,32.664465875000005,32.204122999999996,1.4425458938312048,1.690162422222957,-0.46034287500000914,1.375868772165022,0.46034287500000914,0.5859614017933573,0.5674557874617667,0.6392856339759144,False,0.5053613053613053,0.2460679702747272,No Change,Signaling
Wnt3a,33.054115125,32.203246750000005,1.326680462446397,1.1853756546918843,-0.8508683749999975,1.8035861981734884,0.8508683749999975,1.352717279673206,0.1978547870670308,0.30360475946492654,False,0.23449883449883446,0.7036534375806915,No Change,Signaling
Wnt5a,28.574226875,29.586822125,1.4724304885071033,1.1798826978627324,1.0125952500000004,0.49565381846133677,-1.0125952500000004,-1.5179072071452244,0.15233219827598452,0.2558031254068419,False,0.13038073038073036,0.8172082906518675,No Change,Signaling
Wnt5b,32.7412825,32.353520625,3.1624827728973144,1.3337889493350392,-0.38776187499999537,1.3083621010456332,0.38776187499999537,0.31954505760777846,0.7562910502717983,0.7956061274589122,False,0.7209013209013208,0.1213110388879987,No Change,Signaling
Actb,22.194317625,24.458754125,1.7197214805980268,1.927648310067287,2.2644364999999986,0.20813096135051667,-2.2644364999999986,-2.479338317844214,0.02669359587330771,0.09502920130897545,False,0.020668220668220667,1.5735929188035411,Downregulated,Other
B2m,20.661330375000002,22.611034,1.706196336101357,2.096554683464142,1.949703624999998,0.2588694054274346,-1.949703624999998,-2.0401143721587394,0.0614878369939549,0.14790317547194556,False,0.020668220668220667,1.2112107842055093,No Change,Other
Gapdh,22.205316875,22.985192249999997,1.6618409166877415,1.341270810896543,0.779875374999996,0.5824171022700176,-0.779875374999996,-1.032888331302039,0.3199349546383061,0.4314274388304431,False,0.32820512820512815,0.49493830828344204,No Change,Other
Gusb,27.604504499999997,29.328473875,1.2761954586666688,1.1238470638868006,1.723969375000003,0.30271469683574276,-1.723969375000003,-2.867460153443904,0.01257788095370022,0.08181140388426174,False,0.014763014763014764,1.9003925200698462,Downregulated,Other
Hsp90ab1,22.834145,24.667682874999997,1.265257088376791,1.3816935282779856,1.8335378749999975,0.2805757299374892,-1.8335378749999975,-2.7681158307111517,0.015185083709877261,0.08181140388426174,False,0.014763014763014764,1.8185828096306307,Downregulated,Other
